time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
05-06-2015,8119.1499,8191,8100.1499,8114.7002,8135.283367,8135.283453,8135.28328,8290.645899,8380.978826,8410.257647,8208.203946,167055000,170122800,37.94045239,48.08118312,NaN,NaN,NaN,NaN,NaN,NaN,-19.63125309,-51.08153924,-31.45028615,13.38960878,13.60703635
08-06-2015,8124.3501,8131,8030.5498,8044.1499,8068.566567,8068.566653,8068.56648,8267.170089,8367.769849,8403.007989,8206.571567,140076007,167232450.2,34.95711827,46.95536348,NaN,NaN,NaN,NaN,NaN,NaN,-26.43086134,-64.48886283,-38.05800149,2.962984749,11.14247989
09-06-2015,8026.5,8057.1499,8005.1499,8022.3999,8028.233233,8028.23332,8028.233147,8243.858643,8354.225929,8395.471195,8204.739013,140218008,165305650.9,34.06773744,45.58136935,NaN,NaN,34.06773744,NaN,NaN,NaN,-30.3482413,-75.99330311,-45.64506181,3.561107259,6.637900261
10-06-2015,8024.1499,8152.25,8023.7998,8124.4502,8100.166667,8100.166667,8100.166667,8232.48641,8345.215117,8390.104443,8203.940119,141029999,163606400.7,41.57820145,44.75222008,NaN,NaN,NaN,NaN,NaN,NaN,-24.28392515,-75.99996824,-51.7160431,24.62847329,10.38418843
11-06-2015,8157.2998,8163.0498,7958.25,7965.3501,8028.8833,8028.883386,8028.883214,8207.044857,8330.318449,8381.693466,8201.566089,171349000,165225651.1,34.90289651,43.31767286,NaN,NaN,NaN,NaN,NaN,NaN,-28.89183719,-87.83083958,-58.9390024,1.395184598,9.861588383
12-06-2015,7959.8501,7995.6001,7940.2998,7982.8999,7972.933267,7972.933267,7972.933267,8185.697718,8316.694192,8373.796563,8199.390306,140839993,165575750.9,36.12118094,42.31677221,NaN,NaN,NaN,NaN,NaN,NaN,-28.60810647,-94.69913548,-66.09102901,8.085802692,11.36982019
15-06-2015,7986.6001,8057.7002,7944.8501,8013.8999,8005.4834,8005.4834,8005.4834,8169.336021,8304.819906,8366.669897,8197.544631,137116000,164764550.8,38.3171473,41.58749226,NaN,NaN,NaN,NaN,NaN,NaN,-24.34969846,-96.52815209,-72.17845363,13.9698237,7.816936998
16-06-2015,8004.2002,8061.8501,7952.3501,8047.2998,8020.5,8020.5,8020.5,8157.713524,8294.721079,8360.345737,8196.049657,127809004,163922901.1,40.68314897,41.04550535,NaN,NaN,NaN,NaN,NaN,NaN,-17.61461862,-94.1967269,-76.58210828,20.30936284,14.12166308
17-06-2015,8084.2002,8136.8501,8048.9502,8091.5498,8092.450033,8092.450033,8092.450033,8151.412217,8286.753578,8355.023045,8195.009858,157206004,165413751.3,43.76095554,40.78653859,NaN,NaN,NaN,NaN,NaN,NaN,-8.947697551,-87.76673022,-78.81903267,28.70832832,20.99583829
18-06-2015,8113.7002,8186.8999,8101.7998,8174.6001,8154.433267,8154.433389,8154.433145,8153.620587,8282.355402,8351.450313,8194.806776,149266006,165467601.4,49.09922224,40.43288372,NaN,NaN,NaN,NaN,NaN,NaN,2.972267959,-75.10369772,-78.07596568,44.47186736,31.16318617
